cd_nom	taxa_name	level_1_alp	level_1_mc
3819	Plasteurhynchium meridionale (Schimp.) M.Fleisch.	1	0
3845	Tetrodontium repandum (Funck) SchwÃ¤gr.	1	1
3849	Atrichum angustatum (Brid.) Bruch & Schimp.	1	0
3851	Atrichum tenellum (RÃ¶hl.) Bruch & Schimp.	1	1
3856	Oligotrichum hercynicum (Hedw.) Lam. & DC.	1	1
3859	Pogonatum nanum (Schreb. ex Hedw.) P.Beauv.	1	1
3870	Polytrichum longisetum Sw. ex Brid.	1	1
3879	Polytrichum strictum Menzies ex Brid.	1	0
3884	Buxbaumia aphylla Hedw.	1	1
3885	Buxbaumia viridis (Moug. ex Lam. & DC.) Brid. ex Moug. & Nestl.	1	1
3892	Archidium alternifolium (Dicks ex Hedw.) Mitt.	1	0
3900	Fissidens celticus Paton	1	1
3901	Fissidens crassipes Wilson ex Bruch & Schimp.	1	0
3905	Fissidens crispus Mont.	1	0
3910	Aloina rigida (Hedw.) Limpr.	1	0
3912	Crossidium aberrans Holz. & E.B.Bartram	1	0
3915	Crossidium squamiferum (Viv.) Jur.	1	1
4375	Fissidens exilis Hedw.	1	1
4376	Fissidens gracilifolius Brugg.-Nann. & Nyholm	1	1
4388	Fissidens osmundoides Hedw.	1	1
4392	Fissidens pusillus (Wilson) Milde	1	0
4393	Fissidens rivularis (Spruce) Schimp.	1	1
4394	Fissidens rufulus Bruch & Schimp.	1	0
4413	Campylopus atrovirens De Not.	1	1
4415	Campylopus flexuosus (Hedw.) Brid.	1	0
4421	Campylopus oerstedianus (MÃ¼ll.Hal.) Mitt.	1	1
4423	Campylopus pilifer Brid.	1	1
4429	Campylopus subulatus Schimp. ex Milde	1	0
4431	Cynodontium bruntonii (Sm.) Bruch & Schimp.	1	0
4432	Cynodontium gracilescens (F.Weber & D.Mohr) Schimp.	1	0
4433	Cynodontium polycarpon (Hedw.) Schimp.	1	1
4434	Cynodontium strumiferum (Hedw.) Lindb.	1	1
4441	Dicranella cerviculata (Hedw.) Schimp.	1	0
4447	Dicranella howei Renauld & Cardot	1	0
4452	Dicranella rufescens (Dicks.) Schimp.	1	0
4696	Gymnostomum viridulum Brid.	1	1
4700	Eremonotus myriocarpus (Carrington) Pearson	1	0
4724	Dicranella staphylina H.Whitehouse	1	1
4725	Dicranella subulata (Hedw.) Schimp.	1	1
4726	Dicranella varia (Hedw.) Schimp.	1	1
4734	Dicranoweisia cirrata (Hedw.) Lindb.	1	0
4743	Dicranum elongatum Schleich. ex Schwägr.	1	0
4745	Dicranum flexicaule Brid.	1	0
4746	Dicranum fulvum Hook.	1	1
4747	Dicranum fuscescens Sm.	1	1
4750	Dicranum majus Sm.	1	1
4752	Dicranum polysetum Sw. ex anon.	1	0
4761	Dicranum spurium Hedw.	1	1
4763	Dicranum viride (Sull. & Lesq.) Lindb.	1	1
4765	Kiaeria blyttii (Bruch & Schimp.) Broth.	1	1
4767	Kiaeria starkei (F.Weber & D.Mohr) I.Hagen	0	1
4779	Dicranum flagellare Hedw.	1	1
4786	Paraleucobryum enerve (Thed.) Loeske	1	1
4788	Paraleucobryum sauteri (Bruch & Schimp.) Loeske	1	1
4790	Pseudephemerum nitidum (Hedw.) Loeske	1	0
4819	Ditrichum pallidum (Hedw.) Hampe	1	1
4820	Ditrichum pusillum (Hedw.) Hampe	1	1
4823	Pleuridium acuminatum Lindb.	1	0
4826	Pleuridium subulatum (Hedw.) Rabenh.	1	0
4830	Rhabdoweisia crispata (Dicks.) Lindb.	1	1
4835	Saelania glaucescens (Hedw.) Broth.	1	1
4852	Encalypta vulgaris Hedw.	0	1
4859	Acaulon muticum (Hedw.) MÃ¼ll.Hal.	1	1
4860	Acaulon mediterraneum Limpr.	1	0
4862	Acaulon triquetrum (Spruce) MÃ¼ll.Hal.	1	1
4865	Aloina ambigua (Bruch & Schimp.) Limpr.	1	0
4879	Pseudobryum cinclidioides (Huebener) T.J.Kop.	1	1
4881	Pohlia andalusica (HÃ¶hn.) Broth.	1	1
4895	Pohlia lescuriana (Sull.) Ochi	1	0
4900	Pohlia melanodon (Brid.) A.J.Shaw	1	1
4903	Pohlia proligera (Kindb.) Lindb. ex Broth.	1	1
4909	Rhodobryum ontariense (Kindb.) Kindb.	1	1
4920	Mnium marginatum (Dicks.) P.Beauv.	0	1
4924	Mnium spinosum (Voit) SchwÃ¤gr.	0	1
4927	Mnium thomsonii Schimp.	0	1
4930	Cyrtomnium hymenophylloides (Huebener) T.J.Kop.	1	0
4936	Plagiomnium elatum (Bruch & Schimp.) T.J.Kop.	0	1
4941	Plagiomnium medium (Bruch & Schimp.) T.J.Kop.	1	1
4944	Plagiomnium rostratum (Schrad.) T.J.Kop.	0	1
4950	Rhizomnium magnifolium (Horik.) T.J.Kop.	1	1
4951	Rhizomnium pseudopunctatum (Bruch & Schimp.) T.J.Kop.	1	1
4955	Aulacomnium androgynum (Hedw.) Schwägr.	1	0
4965	Meesia triquetra (L. ex Jolycl.) Ångstr.	1	1
4966	Meesia uliginosa Hedw.	1	1
4971	Catoscopium nigritum (Hedw.) Brid.	1	0
4981	Breutelia chrysocoma (Hedw.) Lindb.	1	1
4983	Conostomum tetragonum (Hedw.) Lindb.	1	0
4988	Philonotis calcarea (Bruch & Schimp.) Schimp.	0	1
5004	Timmia norvegica J.E.Zetterst.	1	0
5008	Amphidium lapponicum (Hedw.) Schimp.	1	1
5013	Orthotrichum acuminatum H.Philib.	1	1
5016	Orthotrichum alpestre Bruch & Schimp.	1	1
5019	Orthotrichum consimile Mitt.	1	1
5029	Orthotrichum patens Bruch ex Brid.	1	1
5031	Orthotrichum pumilum Sw. ex anon.	1	1
5034	Orthotrichum pulchellum Brunt.	1	1
5035	Orthotrichum rivulare Turner	1	1
5036	Orthotrichum rogeri Brid.	1	1
5038	Orthotrichum scanicum Grönvall	1	1
5046	Orthotrichum tenellum Bruch ex Brid.	1	1
5047	Orthotrichum urnigerum Myrin	1	1
5050	Ulota coarctata (P.Beauv.) Hammar	1	1
5056	Ulota hutchinsiae (Sm.) Hammar	1	1
5063	Zygodon conoideus (Dicks.) Hook. & Taylor	1	1
5065	Zygodon forsteri (Dicks.) Mitt.	1	1
5067	Zygodon viridissimus (Dicks.) Brid.	1	0
5120	Leptodon smithii (Hedw.) F.Weber & D.Mohr	0	1
5124	Neckera pennata Hedw.	1	0
5125	Neckera pumila Hedw.	1	1
5128	Neckera menziesii Drumm.	1	0
5132	Hookeria lucens (Hedw.) Sm.	1	0
5136	Myurella julacea (SchwÃ¤gr.) Schimp.	1	1
5139	Anacamptodon splachnoides (Froel. ex Brid.) Brid.	1	1
5143	Fabronia pusilla Raddi	1	1
5149	Habrodon perpusillus (De Not.) Lindb.	1	1
5151	Lescuraea mutabilis (Brid.) Lindb. ex I.Hagen	1	1
5180	Anomodon longifolius (Schleich. ex Brid.) Hartm.	1	1
5181	Anomodon rostratus (Hedw.) Schimp.	1	1
5182	Anomodon rugelii (MÃ¼ll.Hal.) Keissl.	1	1
5188	Heterocladium dimorphum (Brid.) Schimp.	0	1
5205	Pterygoneurum ovatum (Hedw.) Dixon	1	1
5210	Tortula atrovirens (Sm.) Lindb.	1	1
5214	Tortula canescens Mont.	1	1
5219	Tortula inermis (Brid.) Mont.	1	1
5223	Tortula marginata (Bruch & Schimp.) Spruce	1	1
5225	Tortula mucronifolia Schwägr.	1	0
5233	Tortula revolvens (Schimp.) G.Roth	1	0
5273	Didymodon acutus (Brid.) K.Saito	0	1
5278	Didymodon cordatus Jur.	1	1
5281	Didymodon ferrugineus (Schimp. ex Besch.) M.O.Hill	0	1
5284	Didymodon insulanus (De Not.) M.O.Hill	1	0
5289	Didymodon luridus Hornsch.	0	1
5298	Didymodon spadiceus (Mitt.) Limpr.	1	1
5300	Didymodon tophaceus (Brid.) Lisa	1	1
5308	Leptobarbula berica (De Not.) Schimp.	1	0
5314	Anoectangium aestivum (Hedw.) Mitt.	1	1
5322	Eucladium verticillatum (With.) Bruch & Schimp.	0	1
5328	Gyroweisia tenuis (Hedw.) Schimp.	1	1
5330	Hymenostylium recurvirostrum (Hedw.) Dixon	0	1
5338	Aschisma carniolicum (F.Weber & D.Mohr) Lindb.	1	0
5347	Tortella inclinata (R.Hedw.) Limpr.	0	1
5349	Tortella nitida (Lindb.) Broth.	1	1
5353	Trichostomum brachydontium Bruch	0	1
5356	Trichostomum crispulum Bruch	0	1
5362	Weissia brachycarpa (Nees & Hornsch.) Jur.	0	1
5364	Weissia condensa (Voit) Lindb.	1	1
5371	Weissia longifolia Mitt.	1	0
5379	Weissia rutilans (Hedw.) Lindb.	1	1
5380	Weissia wimmeriana (Sendtn.) Bruch & Schimp.	1	0
5385	Cinclidotus danubicus Schiffn. & Baumgartner	1	1
5388	Dialytrichia mucronata (Brid.) Broth.	1	0
5390	Cinclidotus riparius (Host ex Brid.) Arn.	1	1
5395	Coscinodon cribrosus (Hedw.) Spruce	1	1
5397	Schistidium agassizii Sull. & Lesq.	1	1
5407	Schistidium flaccidum (De Not.) Ochyra	1	1
5423	Thuidium delicatulum (Hedw.) Schimp.	1	0
5425	Thuidium recognitum (Hedw.) Lindb.	1	1
5452	Hygroamblystegium tenax (Hedw.) Jenn.	1	0
5455	Conardia compacta (Drumm. ex MÃ¼ll.Hal.) H.Rob.	1	1
5464	Calliergon giganteum (Schimp.) Kindb.	0	1
5491	Campylium protensum (Brid.) Kindb.	0	1
5514	Warnstorfia fluitans (Hedw.) Loeske	1	0
5520	Drepanocladus sendtneri (Schimp. ex H.MÃ¼ll.) Warnst.	1	1
5525	Grimmia anomala Hampe ex Schimp.	1	1
5530	Grimmia crinita Brid.	1	1
5531	Grimmia decipiens (Schultz) Lindb.	1	0
5533	Grimmia donniana Sm.	1	1
5534	Grimmia elatior Bruch ex Bals.-Criv. & De Not.	1	1
5540	Grimmia incurva SchwÃ¤gr.	1	1
5546	Grimmia muehlenbeckii Schimp.	1	1
5547	Grimmia orbicularis Bruch ex Wilson	0	1
5552	Grimmia plagiopodia Hedw.	1	1
5557	Grimmia tergestina Tomm. ex Bruch & Schimp.	0	1
5577	Racomitrium ericoides (Brid.) Brid.	1	1
5586	Racomitrium sudeticum (Funck) Bruch & Schimp.	0	1
5590	Campylostelium saxicola (F.Weber & D.Mohr) Bruch & Schimp.	1	1
5596	Ptychomitrium polyphyllum (Dicks. ex Sw.) Bruch & Schimp.	1	1
5613	Brachydontium trichodes (F.Weber) Milde	1	1
5615	Seligeria acutifolia Lindb.	1	0
5617	Seligeria calcarea (Hedw.) Bruch & Schimp.	1	0
5620	Seligeria donniana (Sm.) MÃ¼ll.Hal.	1	1
5621	Seligeria pusilla (Hedw.) Bruch & Schimp.	0	1
5625	Seligeria recurvata (Hedw.) Bruch & Schimp.	1	1
5626	Seligeria trifaria (Brid.) Lindb.	1	0
5639	Entosthodon attenuatus (Dicks.) Bryhn	1	1
5642	Entosthodon fascicularis (Hedw.) MÃ¼ll.Hal.	1	1
5643	Entosthodon obtusus (Hedw.) Lindb.	1	1
5658	Physcomitrium eurystomum Sendtn.	1	0
5660	Physcomitrium sphaericum (C.F.Ludw. ex Schkuhr) Brid.	1	0
5662	Pyramidula tetragona (Brid.) Brid.	1	1
5665	Micromitrium tenerum (Bruch & Schimp.) Crosby	1	1
5669	Ephemerum cohaerens (Hedw.) Hampe	1	0
5670	Ephemerum recurvifolium (Dicks.) Boulay	1	1
5671	Ephemerum serratum (Hedw.) Hampe	1	0
5680	Splachnum ampullaceum Hedw.	1	1
5687	Tayloria serrata (Hedw.) Bruch & Schimp.	1	0
5689	Tayloria tenuis (Dicks.) Schimp.	1	1
5697	Schistostega pennata (Hedw.) F.Weber & D.Mohr	1	1
5705	Anomobryum julaceum (Schrad. ex G.Gaertn., B.Mey. & Scherb.) Schimp.	1	0
5706	Anomobryum concinnatum (Spruce) Lindb.	1	1
5726	Bryum canariense Brid.	1	1
5742	Bryum funckii SchwÃ¤gr.	1	1
5744	Bryum gemmiparum De Not.	1	1
5745	Bryum gemmilucens R.Wilczek & Demaret	1	1
5749	Bryum klinggraeffii Schimp.	1	1
5751	Bryum kunzei Hornsch.	1	1
5766	Bryum ruderale Crundw. & Nyholm	1	1
5768	Bryum schleicheri DC.	1	1
5770	Bryum subapiculatum Hampe	1	0
5771	Bryum tenuisetum Limpr.	1	0
5776	Bryum violaceum Crundw. & Nyholm	1	0
5778	Bryum weigelii Spreng.	1	1
5782	Leptobryum pyriforme (Hedw.) Wilson	1	1
5793	Hygrohypnum duriusculum (De Not.) D.W.Jamieson	1	1
5795	Hygrohypnum eugyrium (Schimp.) Broth.	1	1
5796	Hygrohypnum luridum (Hedw.) Jenn.	0	1
5802	Scorpidium scorpioides (Hedw.) Limpr.	1	0
5809	Brachythecium campestre (Müll.Hal.) Schimp.	1	0
5814	Brachythecium geheebii Milde	1	1
5816	Brachythecium glareosum (Bruch ex Spruce) Schimp.	0	1
5818	Brachythecium mildeanum (Schimp.) Schimp.	1	1
5872	Plasteurhynchium striatulum (Spruce) M.Fleisch.	0	1
5876	Homalothecium aureum (Spruce) H.Rob.	1	0
5881	Homalothecium philippeanum (Spruce) Schimp.	0	1
5898	Rhynchostegiella curviseta (Brid.) Limpr.	1	1
5901	Rhynchostegiella tenuicaulis (Spruce) Kartt.	1	1
5910	Rhynchostegium murale (Hedw.) Schimp.	0	1
5916	Rhynchostegium rotundifolium (Scop. ex Brid.) Schimp.	1	1
5919	Scleropodium cespitans (Wilson ex Müll.Hal.) L.F.Koch	1	1
5924	Scleropodium touretii (Brid.) L.F.Koch	1	1
5926	Scorpiurium circinatum (Brid.) M.Fleisch. & Loeske	0	1
5933	Tomentypnum nitens (Hedw.) Loeske	1	1
5943	Entodon schleicheri (Schimp.) Demet.	1	0
5951	Isopterygiopsis muelleriana (Schimp.) Z.Iwats.	1	1
5954	Taxiphyllum wissgrillii (Garov.) Wijk & Margad.	1	0
5958	Plagiothecium cavifolium (Brid.) Z.Iwats.	1	0
5965	Plagiothecium laetum Schimp.	1	1
5971	Plagiothecium piliferum (Sw.) Schimp.	1	1
5973	Plagiothecium platyphyllum Mönk.	1	1
5980	Plagiothecium undulatum (Hedw.) Schimp.	1	0
5986	Herzogiella striatella (Brid.) Z.Iwats.	1	1
6018	Hylocomiastrum umbratum (Hedw.) M.Fleisch. ex Broth.	1	1
6020	Hyocomium armoricum (Brid.) Wijk & Margad.	1	1
6026	Hypnum andoi A.J.E.Sm.	1	0
6028	Hypnum bambergeri Schimp.	1	0
6029	Hypnum callichroum Brid.	1	1
6056	Hypnum imponens Hedw.	1	1
6069	Breidleria pratensis (W.D.J.Koch ex Spruce) Loeske	1	0
6091	Orthothecium intricatum (Hartm.) Schimp.	0	1
6096	Palustriella commutata (Hedw.) Ochyra	0	1
6097	Palustriella decipiens (De Not.) Ochyra	1	1
6105	Ptilium crista-castrensis (Hedw.) De Not.	0	1
6109	Pylaisia polyantha (Hedw.) Schimp.	0	1
6118	Rhytidiadelphus subpinnatus (Lindb.) T.J.Kop.	1	0
6141	Targionia hypophylla L.	1	1
6155	Mannia androgyna (L.) A.Evans	1	1
6157	Mannia fragrans (Balb.) Frye & L.Clark	1	1
6159	Mannia triandra (Scop.) Grolle	1	1
